ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
linbo0518/CVBenchmarks,ID1,Applied,10,9,1,10.0,1,2124,0.0083542188805346,1.0
dougsm/mvp_grasp,ID1,Applied,197,2351,46,88.0,3,2158,0.046585494970884,3.0
wenz116/TransferSeg,ID1,Applied,25,596,3,14.0,1,2250,0.0075067024128686,1.0
IntelAI/inference-model-manager,ID1,Applied,46,3394,8,264.0,9,2250,0.1608775137111517,9.0
IntelAI/OpenVINO-model-server,ID1,Applied,640,86874,194,2338.0,30,2311,1.140487804878049,41.0
Barqawiz/Snnapy2-Filters,ID1,Applied,12,29124,1,51.0,3,2198,0.0279605263157894,3.0
TIBHannover/GeoEstimation,ID1,Applied,113,1927,29,110.0,6,2374,0.0521821631878557,6.0
facebookresearch/habitat-sim,ID1,Applied,2379,108052,394,1572.0,30,2180,0.8191766545075561,50.0
IBM/MAX-Inception-ResNet-v2,ID1,Applied,28,583,20,51.0,14,2512,0.0274193548387096,14.0
IBM/MAX-Scene-Classifier,ID1,Applied,39,6639,23,50.0,14,2512,0.02255299954894,14.0
IBM/MAX-Review-Text-Generator,ID1,Applied,16,282,22,40.0,12,2508,0.0196850393700787,12.0
IBM/MAX-Fast-Neural-Style-Transfer,ID1,Applied,50,6651,21,44.0,12,2512,0.01985559566787,12.0
IBM/MAX-Weather-Forecaster,ID1,Applied,67,6640,34,30.0,10,2327,0.0145772594752186,10.0
urigoren/decorators4DS,ID1,Applied,28,121,5,53.0,2,2782,0.024345429490124,2.0
HendrikStrobelt/detecting-fake-text,ID1,Applied,440,2504,105,14.0,2,2114,0.0075675675675675,2.0
bobbens/sketch_simplification,ID1,Applied,710,2288,103,14.0,1,2848,0.0054137664346481,1.0
ZheC/Realtime_Multi-Person_Pose_Estimation,ID1,Applied,5070,46830,1370,162.0,10,2964,0.0599555884529977,10.0
eatsleepraverepeat/emusic_net,ID1,Applied,22,18222,1,16.0,1,2415,0.009127210496292,1.0
nikicc/twitter-emotion-recognition,ID1,Applied,159,93497,67,14.0,5,2858,0.0054012345679012,5.0
seongahjo/Mosaicer,ID1,Applied,36,6768,5,312.0,2,2971,0.1370826010544815,2.0
clarkerubber/irwin,ID1,Applied,486,186242,41,570.0,4,2846,0.2211874272409778,4.0
RomanovMikeV/setka,ID1,Applied,19,507,6,402.0,3,2474,0.3532513181019332,3.0
GKalliatakis/Keras-VGG16-places365,ID1,Applied,191,443,75,57.0,6,2650,0.0238893545683151,6.0
urduhack/urduhack,ID2,Applied,274,486,41,128.0,7,2219,0.0672268907563025,7.0
americofmoliveira/VesselSegmentation_ESWA,ID1,Applied,43,346953,24,108.0,2,2412,0.0522749273959341,2.0
neo-ai/neo-ai-dlr,ID1,Applied,487,127781,107,298.0,25,2232,0.1512690355329949,25.0
tlatkowski/inpainting-gmcnn-keras,ID1,Applied,93,7957,39,54.0,3,2143,0.0297520661157024,3.0
ad12/DOSMA,ID1,Applied,55,11421,13,572.0,5,2331,0.2763285024154589,5.0
JustinGOSSES/predictatops,ID1,Applied,58,95537,17,235.0,3,2302,0.1203277009728622,3.0
paulfitz/mlsql,ID1,Applied,917,172,67,44.0,1,2069,0.0246222719641857,1.0
wujixiu/helmet-detection,ID1,Applied,342,35874,117,32.0,1,2368,0.0151946818613485,1.0
ClarityCafe/Ivy,ID1,Applied,12,25221,4,26.0,1,2606,0.016497461928934,1.0
cgnorthcutt/benchmarking-keras-pytorch,ID1,Applied,368,48272,43,49.0,3,2163,0.0275590551181102,3.0
sethuiyer/Image-to-Image-Search,ID1,Applied,310,2080,51,79.0,2,2864,0.0305964368706429,2.0
Yochengliu/MLIC-KD-WSD,ID1,Applied,57,27786,25,99.0,1,2329,0.0542168674698795,1.0
skjerns/AutoSleepScorer,ID1,Applied,102,48235,22,95.0,1,2698,0.0394027374533388,1.0
nsavinov/SPTM,ID1,Applied,100,7442,29,41.0,1,2529,0.0181015452538631,1.0
jiegzhan/time-series-forecasting-rnn-tensorflow,ID1,Applied,77,37,32,22.0,1,2555,0.0096237970253718,1.0
AVAuco/laeonet,ID1,Applied,13,4986,0,29.0,2,2124,0.0226385636221701,2.0
knime/knime-tensorflow,ID1,Applied,18,788,9,353.0,13,2381,0.1694671147383581,13.0
ankur219/ECG-Arrhythmia-classification,ID1,Applied,294,38,116,30.0,1,2387,0.0141110065851364,1.0
soumyadip1995/TextBrain---Building-an-AI-start-up-using-NLP,ID1,Applied,4,2558,3,65.0,2,2068,0.0696677384780278,2.0
SharifAmit/DilatedFCNSegmentation,ID1,Applied,33,323,20,91.0,1,2849,0.0472972972972973,1.0
PurduePAML/TrojanNN,ID1,Applied,179,21365,39,70.0,5,2612,0.0299017513882956,5.0
Tiiiger/bert_score,ID1,Applied,1430,1362,202,169.0,17,2105,0.0916485900216919,17.0
breeko/spypy,ID1,Applied,18,1078,3,21.0,2,2452,0.0302158273381294,2.0
marl/openl3,ID1,Applied,417,720507,57,340.0,8,2290,0.1682335477486393,8.0
Tian312/EliIE,ID1,Applied,36,79873,15,50.0,1,3159,0.0173190162798753,1.0
phillipi/pix2pix,ID1,Applied,9931,2497,1698,130.0,13,2990,0.0476364968853059,13.0
SeanLee97/xmnlp,ID1,Applied,1207,120006,188,128.0,2,2545,0.0560420315236427,2.0
JdeRobot/DetectionSuite,ID1,Applied,72,23762,38,413.0,15,2750,0.1736023539302227,15.0
kevin-ssy/Optical-Flow-Guided-Feature,ID1,Applied,196,7690,43,39.0,0,2508,0.0178735105407882,1.0
keums/melodyExtraction_JDC,ID1,Applied,116,21869,25,30.0,1,2184,0.0158227848101265,1.0
subodh-malgonde/vehicle-detection,ID1,Applied,91,33274,34,14.0,3,2877,0.0054517133956386,3.0
jacobgil/keras-grad-cam,ID1,Applied,656,190,239,10.0,2,3014,0.0036390101892285,2.0
jaredwinick/img2vec-keras,ID1,Applied,36,502,13,15.0,2,2349,0.0089605734767025,2.0
